identifiant;codeClient;typeProduit;numCdeOrigine;reperesConcernes;description;souhait;numeroLigne
R20260309001#SAVF-50425-260002;PRM265612;BOIS;BCF-50425-250011;toutes les fenêtres plein cintre;Merci de me faire un retour sure le sav précedent, problème sur les vitrages;Intervention;1
R20260309002#SAVF-48278-260007;PRM153036;HYBRIDE;2505043085;SEJOUR;Vantail de service très difficile à ouvrir. Je pense que les roulettes sont trop faibles pour le poids du vitrage. La poignée symbole n'a pas survécu à forcer quotidiennement. Le vantail secondaire fonctionne bien mais moins sollicité. Merci de me fournir des roulettes adéquates au poids du vitrage pour chaque vantail ainsi qu'une poignée symbole pour le vantail de droite svp;Envoi pièce;1
R20260309003#SAVF-57685-260003;PRM272134;ALU;2601007312;;Colis non délivré Adresse de livraison : 5 route de l'huilerie 79260 François;Envoi pièce;1
R20260309004#SAVF-55753-260002;PRM270730;ALU;2404044021;A BALDWIN;Les gâches ne tiennent pas, elles se devissent Merci d'expédier des vis avec un diamètre plus important et la meme tete.;Envoi pièce;1
R20260309005#SAVF-58565-260002;PRM272667;PVC;2601007044;;"Bonjour Il manque dans le sachet de la poignée, les vis traversantes pour fixer la plaque, la vis pointeau et la rondelle ""PVC"" de la béquille. SVP à envoyer au plus vite. Merci";Envoi pièce;3
R20260309006#SAVF-52332-260007;PRM157306;PVC;SO;SO;Bonjour, Veuillez trouver en PJ la photo des pièces dont nous avons besoin svp. - Prévoir également les embouts de rejets d'eau noir (25) et blanc (25) - Prévoir également 25 poignées (les mêmes que pour la commande 2510092962 par exemple) Cdlt;Envoi pièce;SO
R20260309007#SAVF-47831-260009;PRM146239;VOLET ROULANT;2509083492;;Bonjour Notre client a un problème, la partie tiercé est trop grande et ça ne passe pas avec la gouttière. Du coup les clients ne sont pas content et veulent des ajustements... Refaire svp un devis avec 3 vantaux, vantail repliable à gauche - vantail principal à gauche - avec une fermeture sans Dardenne au sol. facturation à 50% cdlt Thomas;Refabrication;1
R20260309008#SAVF-48519-260011;PRM155977;NEG;2602014469;;Bonjour ce n'est pas les bons gonds urgent , voir photo , idem mais en 7016 Merci d'envoyer 4 gonds  ouverture ext 180° pour portail alu albatros D3AC;Envoi pièce;1
R20260309009#SAVF-58586-260018;PRM272690;PVC;2601005918;C;MANQUE LES POIGNEES;Envoi pièce;3
R20260309010#SAVF-58586-260019;PRM272690;PVC;2601005918;A;MANQUE LA POIGNEE;Envoi pièce;1
R20260309011#SAVF-49664-260003;PRM263591;PVC;2512108389;DEPENDANCE;Bon jour, Suite à déballage sur palette, Nous avons constaté un coup sur l'ouvrant (Parclose verticale voir PJ ) Cordialement.;Envoi pièce;3
R20260309012#SAVF-49193-260003;PRM261322;PORTAIL ALU;2601001328;PORTALU-1;pas de clameau pour fixation moteur. cdlt thomas;Envoi pièce;1
R20260309013#SAVF-47888-260001;PRM147635;HYBRIDE;2511098823;1.10;Sur ce poste, nous avons livré 2 bavettes 100x100 arrondies pour l'habillage bas. Ceci ne convient pas du tout au client Merci de livrer UNE SEULE LONGUEUR de ce profil en 3500mm de long;Envoi pièce;10
R20260309014#SAVF-47228-260006;NEM306104;PVC;2511096466;CUISINE;"Les soudures d'angles de l'ouvrant de la fenêtre 1 vantail de la cuisine ne sont pas ""cleans"". Prévoir une refabrication de l'ouvrant. Voir photos jointes.";Refabrication;3
R20260309015#SAVF-52264-260011;VM646;PVC;2411104685;PE LANTANA;Sur commande 2411104685 ref.DANGUY, nous avons une crémone de PE PVC HS Merci d'envoyer un technicien la changer Bien cordialement Christophe Augereau SOLABAIE FOUGERES;Intervention;1
R20260309016#SAVF-48992-260014;PRM259924;PVC;7739966;B SALON;Refabrication cremone levier du semi fixe, et cremone ouvrant principal , 3 gaches et renvois de fouillot;Envoi pièce;2
R20260309017#SAVF-47849-260001;PRM146904;NEG;2510093236;A;bonjour le client viens de m appeller ce matin il y a eu une incompréhension le client croyais que la cote de 1914 mm était la cote passage la commune voulais changer la porte juste pour la passer en passage handicapé, elle n accepte pas la porte !!! le client veut qu on refabrique une porte tierceé hauteur hors tout de 2070 et de largueur identique avec les clips pour raccorder sur les fixes latéraux;Envoi pièce;1
R20260309018#SAVF-59061-260002;PRM273149;HYBRIDE;2507064871;1 1;Bonjour , Ci dessous mail du client Merci Cdt Jordan bjrs il y a eut de la casse a la livraison bigeard baie vitree pvc il y a a refaire le chassi entier plus carreau de celui qui a les plus pettit montant et le carreau de l autre il y a aissi toutes les baguettes de finition qui etait tordu avant l accident un consta a ete fait avec le livreur;Envoi pièce;1
R20260309019#SAVF-48170-260011;PRM151717;HYBRIDE;2601002707;A;Suite à l'appel de Julie, Il manque le joint de vitrage des menuiseries fixes. à envoyer 10 ml de joint MP087571.;Envoi pièce;1
R20260309020#SAVF-49946-260001;PRM264407;BOIS;2512111060;1 2;Bonjour Le cadre petit bois n'a pas été prévu Merci de refabriquer Cordialement,;Refabrication;2
R20260309021#SAVF-49233-260001;PRM261511;NEG;2601001412;CH SOUS-S;erreur de saisie - commande faite par le client poussant gauche et relpiement du meme cote.;Refabrication;4
R20260309022#SAVF-48703-260012;PRM157637;BOIS;2509081428;A;Bonjour, Notre client n'a jamais reçu ce CHRONOPOST. Statut en attente de livraison le 130226 et toujours pas livré, colis bloqué sur le site de CHRONOPOST de DIJON, ticket ouvert il y a 1 semaine et statut toujours le même. Merci de renvoyer ce colis en gratuit. Adresse de livraison vérifié avec notre client et ok. VERGUI;Envoi pièce;1
R20260309023#SAVF-58573-260002;PRM272677;VOLET ROULANT;2602014102;;Bonjour Veuillez trouver ci joint les photos de la sous face abimé Merci de nous renvoyer la sous face au plus vite Cdt;Envoi pièce;2
R20260309024#SAVF-47564-260019;PRM137343;PVC;2511100305;ENTREE;pour les postes 001 et 004 renvoyer des caches noires manquants idem photo ci-jointe;Envoi pièce;1
R20260309025#SAVF-52638-260001;PRM267775;PORTAIL ALU;2506053548;PORTALU-1;SUITE A UNE CASSE SUR CHANTIER MERCI DE CHIFFRER UNE BUTEE DE FIN COURSE EN FIN DE RAIL BONNE RECEPTION GUILLAUME HURTELOUP;Envoi pièce;2
R20260309026#SAVF-21443-260009;PAM293822;ALU;2512106456;G;Bonjour ,lors du déballage le montant et abimé manque de peinture voir photo jointe , merci de nous envoyer le montant, voir position en pièce joint .;Envoi profil;7
R20260309027#SAVF-49664-260004;PRM263591;PVC;2511103050;ETG ARRIERE;bonjour, Tâche à l'intérieur de la vitre (voir PJ). Cordialement.;Envoi pièce;4
